Lat,Lon
-37.78333333,175.2833333
53.55,127.8333333
54.8,136.8333333
3.75,102.5
4.6325,102.2341667
41.13,115.35
37.56666667,95.73333333
39.11666667,94.71666667
37.88333333,95.73333333
38.46666667,101.35
38.91666667,101.7666667
38.91666667,99.88333333
38.96666667,96.18333333
39.8,97.1
39.35,101.05
37.2,101.3
37.56666667,101.7833333
37.23333333,97.48333333
38.06666667,98.71666667
39.35,100.4333333
39.35,101.7166667
37.2,100.8333333
39.83333333,98.75
39.05,95.76666667
38.46666667,100.9
37.71666667,97.45
38.51666667,99.3
38.91666667,98.76666667
39.35,99.31666667
38.78333333,97.66666667
39.33333333,96.7
38.35,98.2
39.8,97.63333333
37.65,98.73333333
37.95,98.08333333
39.8,101.1
39.33333333,96.3
39.8,99.35
38.15,99.2
39.13333333,97.66666667
39.35,98.78333333
38.46666667,99.91666667
38.65,95.73333333
39.8,99.91666667
37.2,101.8
39.8,96.01666667
37.56666667,95.28333333
38.7,96.63333333
38.58333333,94.85
37.23333333,100.3666667
39.4,98.2
39.8,96.55
38.4,97.66666667
38.9,101.1333333
38.21666667,94.85
38.46666667,100.4666667
39.23333333,95.03333333
38.45,96.15
39.05,98.2
38.4,97.15
39.8,98.23333333
39.21666667,95.4
38.86666667,94.86666667
37.56666667,98.13333333
37.98333333,101.3166667
37.56666667,99.28333333
37.2,95.28333333
38.08333333,99.9
39.4,95.83333333
37.56666667,100.8666667
37.2,98.08333333
37.86666667,96.26666667
38.46666667,101.8333333
38.05,97.43333333
37.73333333,100.4333333
37.58333333,101.3333333
38.01666667,101.6666667
39.35,99.88333333
38.91666667,100.4833333
39.0,96.66666667
38.58333333,95.28333333
37.7,99.9
37.45,96.23333333
38.01666667,100.6666667
38.91666667,99.31666667
37.88333333,99.26666667
38.7,98.2
39.8,95.11666667
38.86666667,95.23333333
39.8,100.4666667
37.51666667,94.85
38.88333333,97.16666667
37.18333333,99.26666667
38.23333333,95.73333333
37.23333333,96.83333333
39.8,101.8
37.23333333,99.83333333
37.16666667,94.85
37.15,96.23333333
39.48333333,97.65
39.8,95.58333333
37.85,94.85
38.3,96.58333333
39.53333333,95.3
37.78333333,96.83333333
37.23333333,98.68333333
38.46666667,98.76666667
41.33333333,95.53333333
-41.1207,175.1137
6.917222222,158.1588889
35.14861111,150.7136111
34.09388889,149.7075
31.53222222,152.6288889
28.8525,152.0555556
31.64166667,151.8516667
29.66027778,152.1925
30.40944444,152.6938889
32.05277778,151.4936111
30.295,152.9330556
37.17861111,149.9822222
31.61972222,151.185
28.8175,152.1783333
32.24444444,152.5433333
34.02055556,151.2247222
28.35972222,152.9861111
33.96777778,150.3041667
33.49833333,151.4177778
30.39861111,153.0347222
35.23166667,148.7788889
33.45694444,151.3011111
29.05388889,153.41
35.42,150.0447222
34.66638889,150.6575
33.54722222,150.8969444
29.94416667,152.5108333
34.11583333,146.2230556
33.74833333,148.4391667
31.71222222,152.5225
31.81638889,152.7213889
29.08055556,147.0352778
35.97416667,149.7208333
30.34805556,152.8219444
30.67666667,152.6519444
33.36888889,151.0516667
31.66444444,152.7738889
29.42972222,152.8794444
36.13055556,150.1155556
33.15461111,150.0409722
33.98277778,151.0322222
32.26222222,152.1169444
29.55444444,152.3238889
32.68555556,148.3361111
33.70583333,151.2363889
32.23333333,150.0
30.50277778,145.7138889
34.13027778,150.9713889
32.54416667,142.2972222
29.96305556,152.2333333
33.93777778,150.0908333
36.07222222,148.3486111
33.78361111,151.1386111
34.56944444,150.6569444
33.651,151.201
28.91916667,152.7536111
34.17527778,142.5775
33.525,151.0577778
35.44833333,150.3972222
28.44694444,153.1702778
28.38833333,153.4647222
36.66666667,149.9361111
35.18194444,150.2080556
28.32416667,152.52
29.01111111,152.695
30.29055556,150.1427778
28.31722222,152.6336111
31.3125,151.8444444
28.38972222,153.2686111
32.20027778,151.3236111
33.74888889,143.1355556
35.60111111,150.3311111
31.14666667,142.3813889
32.49472222,152.3363889
34.28944444,150.3602778
28.54388889,153.2930556
30.59277778,152.4583333
28.59555556,152.7141667
33.37694444,151.1797222
30.99638889,152.01
34.81333333,150.7566667
33.60666667,150.8888889
36.98722222,149.4755556
33.79666667,151.2916667
34.50194444,149.9263889
34.1225,151.0638889
32.75277778,152.1408333
29.09361111,141.5086111
28.44638889,152.4536111
34.22555556,150.5386111
28.48777778,152.7258333
31.84583333,150.0736111
32.30111111,152.4352778
36.37166667,150.0294444
31.29222222,149.0080556
33.005,151.3930556
33.97219444,148.0231111
31.2,152.2333333
29.34694444,152.3327778
31.17861111,152.4908333
33.23527778,144.9386111
33.293,151.543
32.87388889,150.4922222
29.90527778,153.2269444
33.04222222,150.7861111
15.58416667,136.8680556
12.45083333,130.8733333
20.86,134.9405556
12.13333333,131.2855556
14.95444444,133.1863889
24.14472222,132.8183333
11.32111111,132.1783333
15.88805556,130.3069444
15.81638889,129.1397222
14.31222222,132.4230556
24.27972222,131.5583333
13.27916667,130.8766667
23.64916667,133.1375
25.31222222,131.0186111
12.27111111,132.6730556
37.71555556,140.2830556
34.58222222,135.3219444
35.01305556,138.6558333
35.97722222,136.6727778
36.04916667,139.5536111
28.37027778,137.3808333
32.55388889,135.4638889
31.04444444,137.8597222
31.69722222,135.8536111
34.38694444,140.5397222
35.22777778,136.8947222
32.78138889,138.0627778
31.42222222,138.705
35.16055556,138.5538889
26.37166667,135.6302778
31.39861111,130.1377778
36.95,140.75
34.86777778,135.8697222
41.55083333,147.6669444
41.75833333,148.1994444
41.83027778,145.9241667
42.40944444,146.0319444
39.46666667,147.3083333
42.12527778,148.2983333
43.22972222,146.7561111
42.63333333,148.0833333
41.60055556,146.2894444
40.93777778,148.2536111
40.89972222,145.5358333
42.65527778,146.5875
41.13277778,146.6566667
41.35388889,145.4091667
43.35,147.3711111
40.21944444,148.0947222
42.83361111,146.1494444
42.85527778,147.9758333
41.86888889,146.2586111
37.57138889,149.3602778
37.79527778,144.2786111
37.76388889,146.2230556
36.09,147.7580556
37.95138889,145.2602778
37.31138889,149.2202778
36.13305556,146.6011111
37.71194444,149.5083333
37.28583333,148.8947222
38.35,145.37
34.68722222,142.3816667
37.40638889,145.2108333
37.12944444,144.8688889
37.57055556,148.9602778
38.06611111,141.2886111
37.65555556,147.3455556
38.36638889,146.3905556
38.50222222,144.8883333
38.27027778,141.4247222
35.46305556,148.9133333
38.65055556,143.0627778
38.77333333,143.5575
38.44166667,146.58
36.14277778,144.2283333
37.275,148.5533333
34.76833333,141.8541667
34.77638889,141.4844444
37.98333333,147.6666667
35.38916667,141.8769444
37.68055556,145.9908333
30.08388889,115.4861111
30.46861111,115.4397222
31.625,116.1836111
31.23833333,120.1691667
34.41833333,115.8777778
34.51444444,115.9961111
33.94694444,122.1555556
34.74694444,116.115
24.62361111,119.2719444
22.12333333,113.9205556
30.23444444,115.0877778
33.70388889,123.3694444
15.16138889,126.7763889
31.68027778,128.9452778
33.9475,119.6152778
25.69944444,113.5519444
32.92805556,120.2372222
18.07722222,125.7136111
34.44444444,116.0586111
30.00222222,121.5308333
31.94138889,116.0463889
31.90638889,116.06
34.67888889,118.3697222
27.78472222,114.2458333
31.95861111,116.0713889
31.88194444,116.0738889
15.77388889,128.7636111
22.49611111,118.3972222
